num|territorio|municipio|uf|n_com|familias|area_terr|pct|titulos|conf
57|Uzina Velha|Caxias|MA|1|76|1160.9576|100|ITERMA**:1160.9576:2006-09-01|alta
58|Bom Jesus|Candido Mendes|MA|1|58|216.3937|100|ITERMA**:216.3937:2006-11-20|alta
59|Lago Grande|Peritoró|MA|1|44|906.8315|100|ITERMA**:906.8315:2006-11-20|alta
60|Juçaral/Santa Helena|Itapecuru-Mirim|MA|1|30|345.4331|100|ITERMA**:345.4331:2006-11-20|alta
61|Olho D'Agua dos Pires|Esperantina|PI|1|89|626.8390|100|INTERPI/INCRA:626.8390:2006-11-20|alta
62|Sítio Velho|Assunção do Piauí|PI|1|92|847.8211|100|INTERPI/INCRA:847.8211:2006-11-20|alta
63|Caranduba|Acará|PA|1|33|644.5477|100|ITERPA:644.5477:2006-11-23|alta
64|Centro Ouro|Mojú|PA|3|123|5243.1409|100|ITERPA:5243.1409:2006-11-23|alta
65|Jacunday|Mojú|PA|1|60|1701.5887|100|ITERPA:1701.5887:2006-11-23|alta
66|Galvão|Eldorado e Iporanga|SP|1|32|2177.1701|86|ITESP*:1869.5711:2007-01-18|alta
67|Jatobá|Muquém de São Francisco|BA|1|69|12717.2620|14|SPU:1778.8900:2007-05-21|alta
68|Mel da Pedreira|Macapá|AP|1|25|2629.0532|100|INCRA:2629.0532:2007-03-21|alta
69|Volta do Campo Grande|Campinas do Piauí|PI|8|129|10897.5945|100|INTERPI/INCRA:10897.5945:2007-09-25|alta
70|Porto Alegre|Cametá|PA|1|54|2858.7114|100|ITERPA**:2858.7114:2007-11-20|alta
71|Jacarequara|Santa Luzia do Pará|PA|1|55|1236.9910|100|ITERPA**:1236.9910:2008-05-13|alta
72|Macapazinho|Santa Isabel do Pará|PA|1|33|91.1505|100|ITERPA**:91.1505:2008-05-13|alta
73|Matias|Cametá|PA|1|45|1424.6701|100|ITERPA**:1424.6701:2008-05-13|alta
74|Menino Jesus|São Miguel do Guamá|PA|1|12|288.9449|100|ITERPA**:288.9449:2008-05-13|alta
75|Tipitinga|Santa Luzia do Pará|PA|1|27|633.4357|100|ITERPA**:633.4357:2008-05-13|alta
76|Cotovelo|Pinheiro|MA|1|55|1220.3410|100|ITERMA:1220.3410:2008-11-14|alta
77|Pedrinhas|Anajatuba|MA|1|28|128.6363|100|ITERMA:128.6363:2008-11-14|alta
78|Campo Redondo|Bacabal|MA|1|38|1521.1087|100|ITERMA:1521.1087:2008-11-14|alta
79|Fazenda Nova|Isaías Coelho|PI|4|168|5592.5036|100|INTERPI/INCRA:5592.5036:2008-11-20|alta
80|Morrinhos|Isaías Coelho|PI|5|146|2532.8489|100|INTERPI/INCRA:2532.8489:2008-11-20|alta
81|Moju-Miri|Moju|PA|1|28|878.6388|100|ITERPA**:878.6388:2008-12-02|alta
82|Ribeira do Jambu-Açu|Moju|PA|1|62|1303.5089|100|ITERPA**:1303.5089:2008-12-02|alta
83|Samaúma|Abaetetuba|PA|1|12|213.0550|100|ITERPA**:213.0550:2008-12-02|alta
84|2º Distrito|Mocajuba|PA|7|400|15073.2371|100|ITERPA**:15073.2371:2008-12-02|alta
85|Família Silva|Porto Alegre|RS|1|12|0.6511|35|INCRA:0.1320744:2009-09-21;INCRA:0.0519088:2009-09-21;INCRA:0.0462555:2009-09-21|alta
86|Chácara das Rosas|Canoas|RS|1|20|0.361944|100|INCRA:0.361944:2009-09-21|alta
87|Santa Rita do Vale|Santa Rita|MA|1|120|319.4535|100|ITERMA:319.4535:2009-10-14|alta
88|Santa Luzia do Tracuateua|Moju|PA|1|32|342.3018|100|ITERPA**:342.3018:2009-11-30|alta
89|Sanat Ana de Baixo|Moju|PA|1|34|1551.1216|100|ITERPA**:1551.1216:2009-11-30|alta
90|São Sebastião|Moju|PA|1|39|962.0094|100|ITERPA**:962.0094:2009-11-30|alta
91|Tambaí-Açú|Mocajuba e Baião|PA|1|66|1824.7852|100|ITERPA**:1824.7852:2009-11-30|alta
92|Nossa Senhora do Livramento|Igarapé-Açu e Nova Timboteua|PA|1|53|128.9332|100|ITERPA**:128.9332:2010-05-06|alta
93|ARQUINEC|Concórdia do Pará|PA|4|180|5981.3412|100|INCRA:5981.3412:2010-08-25|alta
